npi,lst_nm,frst_nm,gndr,cred,med_sch,grd_yr,pri_spec,quality_score,promoting_interoperability_score,cost_score,improvement_activities_score,overall_mips_score,community_id
1346309168,SCHULTES,GLENN,M,,RUSH MEDICAL COLLEGE OF RUSH UNIVERSITY,1987.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,162
1881656692,EDSON,STEVEN,M,MD,JEFFERSON MEDICAL COLLEGE OF THOMAS JEFFERSON UNIVERSITY,1978.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,162
1730211046,RICKARDS,JAMES,M,,INDIANA UNIVERSITY SCHOOL OF MEDICINE,2002.0,DIAGNOSTIC RADIOLOGY,100.0,,100.0,40.0,100.0,162
1528028248,PETROVICH,LINDA,F,,TULANE UNIVERSITY SCHOOL OF MEDICINE,1997.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,162
1790733822,SULLIVAN,SCOTT,M,,GEORGETOWN UNIVERSITY SCHOOL OF MEDICINE,1991.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,162
1639148406,LOMBARDI,VINCENT,M,MD,"LOYOLA UNIVERSITY OF CHICAGO, STRITCH SCHOOL OF MEDICINE",1989.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,162
1770588006,TAYLOR,BARBARA,F,,DREXEL UNIVERSITY COLLEGE OF MEDICINE,1981.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,162
1023094737,FOX,STEPHEN,M,MD,MEDICAL COLLEGE OF GEORGIA SCHOOL OF MEDICINE,1996.0,DIAGNOSTIC RADIOLOGY,100.0,,100.0,40.0,100.0,162
1508182742,NAVEED,NAUSHEEN,F,,OTHER,1990.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,162
1669606711,KOLLENGODE,MADHUKAR,M,,OHIO STATE UNIVERSITY COLLEGE OF MEDICINE,2009.0,ADULT CONGENITAL HEART DISEASE (ACHD),100.0,100.0,,40.0,100.0,22
1013448984,DAVIS,RAMONA,F,,OTHER,2017.0,PHYSICIAN ASSISTANT,100.0,100.0,,40.0,100.0,22
1831100619,KEMP,JENNIFER,F,MD,UNIVERSITY OF KANSAS SCHOOL OF MED (KC/WICH/SAL),1994.0,DIAGNOSTIC RADIOLOGY,100.0,,95.1,40.0,100.0,22
1518297480,DILLINGHAM,JAMES,M,,OTHER,2009.0,PHYSICIAN ASSISTANT,100.0,94.0,,40.0,100.0,22
1982093126,CORRELL,CHANDLER,M,,OTHER,2014.0,PHYSICIAN ASSISTANT,100.0,100.0,,40.0,100.0,22
1154712511,SHULMAN,KATHERINE,F,,OTHER,2014.0,CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),100.0,,,40.0,100.0,22
1003259581,RICHARDS,ABBY,F,,OTHER,2013.0,OBSTETRICS/GYNECOLOGY,100.0,100.0,,40.0,100.0,22
1396036885,LEE,STEPHANIE,F,,OTHER,2009.0,NURSE PRACTITIONER,100.0,100.0,,40.0,100.0,22
1659338762,MCGOULD,MICHELE,F,MD,RUSH MEDICAL COLLEGE OF RUSH UNIVERSITY,1993.0,OBSTETRICS/GYNECOLOGY,100.0,100.0,,40.0,100.0,22
1225158157,HANKINSON,JENNIFER,F,,TEXAS TECH UNIVERSITY HEALTH SCIENCE CENTER SCHOOL OF MEDICINE,2004.0,DIAGNOSTIC RADIOLOGY,100.0,98.8,100.0,40.0,100.0,22
1457672834,LING,CAROLINE,F,,GEORGE WASHINGTON UNIVERSITY SCHOOL OF MEDICINE,2010.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,,40.0,100.0,22
1851372866,KIRKPATRICK,AARON,M,,GEISEL SCHOOL OF MEDICINE AT DARTMOUTH,2003.0,DIAGNOSTIC RADIOLOGY,100.0,98.8,100.0,40.0,100.0,22
1538484514,MAES,DAMON,M,,UNIVERSITY OF CINCINNATI COLLEGE OF MEDICINE,2010.0,HOSPITALIST,100.0,100.0,95.2,40.0,100.0,22
1699180760,HILLIS,GENEVIEVE,F,,OTHER,2014.0,EMERGENCY MEDICINE,100.0,100.0,,40.0,100.0,22
1730342841,ZANDER,DAVID,M,,UNIVERSITY OF NEBRASKA COLLEGE OF MEDICINE,2008.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,22
1083896930,WYNN,LISA,F,,PERELMAN SCHOOL OF MED AT THE UNIVERSITY OF PENNSYLVANIA,2003.0,OBSTETRICS/GYNECOLOGY,100.0,100.0,,40.0,100.0,22
1093160640,REED,JOLYNN,F,,OTHER,2016.0,PHYSICIAN ASSISTANT,100.0,100.0,100.0,40.0,100.0,22
1093804460,BANKS,HEATHER,F,,MEDICAL COLLEGE OF WISCONSIN,1998.0,FAMILY MEDICINE,100.0,94.0,,40.0,100.0,22
1073703526,ROBERTSON,NANCY,F,,OTHER,1999.0,NURSE PRACTITIONER,100.0,100.0,,40.0,100.0,22
1033409891,LANE,ASHLEY,F,,CREIGHTON UNIVERSITY SCHOOL OF MEDICINE,2011.0,GASTROENTEROLOGY,100.0,100.0,,40.0,100.0,22
1508160482,GOEMAN,STEPHANIE,F,,OTHER,2010.0,PHYSICIAN ASSISTANT,100.0,,100.0,40.0,100.0,7
1962875237,MCNEAL,STEPHANIE,F,,OTHER,2015.0,NURSE PRACTITIONER,100.0,,100.0,40.0,100.0,7
1174834824,GREEN,RONYA,F,,OTHER,2010.0,FAMILY MEDICINE,100.0,87.5,,40.0,100.0,7
1164659512,FORDHAM,KATHRYN,F,,VANDERBILT UNIVERSITY SCHOOL OF MEDICINE,2002.0,NURSE PRACTITIONER,100.0,100.0,69.3,40.0,100.0,7
1013902782,BISHOP,ROBERT,M,MD,UNIVERSITY OF ALABAMA SCHOOL OF MEDICINE,1987.0,FAMILY MEDICINE,100.0,100.0,69.3,40.0,100.0,7
1063407351,HOLLOWAY,CHRISTOPHER,M,,UNIVERSITY OF VIRGINIA SCHOOL OF MEDICINE,1999.0,FAMILY MEDICINE,100.0,100.0,69.3,40.0,100.0,7
1346507423,DUCEY,JOHN,M,,UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,2012.0,FAMILY MEDICINE,100.0,100.0,69.3,40.0,100.0,7
1306831284,JOHNSON,STEVEN,M,,UNIVERSITY OF VIRGINIA SCHOOL OF MEDICINE,1994.0,FAMILY MEDICINE,100.0,100.0,69.3,40.0,100.0,7
1518360825,LEE,GABRIELA,F,,OTHER,2014.0,NURSE PRACTITIONER,100.0,100.0,69.3,40.0,100.0,7
1467447664,BRUST,MATTHEW,M,,INDIANA UNIVERSITY SCHOOL OF MEDICINE,1990.0,FAMILY MEDICINE,100.0,100.0,69.3,40.0,100.0,7
1477548154,HOLMES,GEORGE,M,,"UNIVERSITY OF TENNESSEE, HSC, COLLEGE OF MEDICINE",1972.0,FAMILY MEDICINE,100.0,100.0,69.3,40.0,100.0,7
1871614370,HOLMES,KEREN,F,,MOREHOUSE SCHOOL OF MEDICINE,2005.0,FAMILY MEDICINE,100.0,100.0,69.3,40.0,100.0,7
1699861559,SCHWEITZER,MEREDITH,F,,NOVA SOUTHEASTERN COLLEGE OF OSTEO MEDICINE,1998.0,FAMILY MEDICINE,100.0,100.0,69.3,40.0,100.0,7
1235419904,LEE,JONATHAN,M,,OTHER,2011.0,NURSE PRACTITIONER,100.0,100.0,69.3,40.0,100.0,7
1467501999,MCDONALD,SHANNON,F,,OTHER,1995.0,FAMILY MEDICINE,100.0,100.0,69.3,40.0,100.0,7
1922241959,HARTMAN,DANIEL,M,,OHIO MEDICAL UNIVERSITY,2009.0,FAMILY MEDICINE,100.0,100.0,69.3,40.0,100.0,7
1790833267,AL-OMARY,MALEK,M,MD,OTHER,1990.0,INTERNAL MEDICINE,100.0,100.0,65.0,40.0,100.0,7
1285682211,MOHYUDDIN,SHUAIB,M,,"UNIVERSITY OF TENNESSEE, HSC, COLLEGE OF MEDICINE",1993.0,EMERGENCY MEDICINE,100.0,100.0,,40.0,100.0,7
1467506576,SOURIS,PATRICK,M,MD,MEDICAL COLLEGE OF GEORGIA SCHOOL OF MEDICINE,1989.0,ANESTHESIOLOGY,100.0,98.0,,40.0,100.0,258
1336561901,UNGER,ROBERT,M,,OTHER,2013.0,PHYSICIAN ASSISTANT,100.0,100.0,37.7,40.0,100.0,7
1790958593,CAMPBELL,BRETT,M,,UNIVERSITY OF ROCHESTER SCHOOL OF MEDICINE AND DENTISTRY,2008.0,ANESTHESIOLOGY,100.0,100.0,,40.0,100.0,7
1710409222,HUTCHENS,SARAH,F,,OTHER,2017.0,NURSE PRACTITIONER,100.0,100.0,84.1,40.0,100.0,258
1821257049,STRANE,NICHOLAS,M,,MEHARRY MEDICAL COLLEGE SCHOOL OF MEDICINE,2004.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,258
1326441056,PARKER,CHRISTOPHER,M,,OTHER,2014.0,PHYSICIAN ASSISTANT,100.0,100.0,88.7,40.0,100.0,258
1376949388,URIBE,REBECCA,F,,OTHER,2014.0,PHYSICIAN ASSISTANT,100.0,100.0,,40.0,100.0,258
1043206329,MAHONEY,ROBERT,M,MD,"UNIVERSITY OF TENNESSEE, HSC, COLLEGE OF MEDICINE",1997.0,DIAGNOSTIC RADIOLOGY,100.0,,,40.0,100.0,258
1467427955,STARNES,DANIEL,M,MD,"UNIVERSITY OF TENNESSEE, HSC, COLLEGE OF MEDICINE",1978.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,,40.0,100.0,258
1609194547,SCHERER,PHILIP,M,,OTHER,2010.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,,40.0,100.0,258
1831229095,COOKE,ERIN,F,,OTHER,2005.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,84.1,40.0,100.0,258
1790040947,PATEL,ASHISH,M,,WAYNE STATE UNIVERSITY SCHOOL OF MEDICINE,2012.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,73.1,40.0,100.0,258
1679754741,BYRD,BRITTANY,F,,OTHER,2007.0,CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),100.0,,,40.0,100.0,258
1174622500,KELLEY,MARK,M,,UNIVERSITY OF FLORIDA COLLEGE OF MEDICINE,1989.0,SURGICAL ONCOLOGY,100.0,100.0,,40.0,100.0,258
1023047792,PARKER,EVA,F,MD,OHIO MEDICAL UNIVERSITY,2002.0,DERMATOLOGY,100.0,100.0,100.0,40.0,100.0,258
1194275560,ESTOPINAL,KATHRYN,F,,OTHER,2016.0,NURSE PRACTITIONER,100.0,100.0,,40.0,100.0,258
1215479951,MATHEWS,BRITTANY,F,,MEDICAL UNIVERSITY OF SOUTH CAROLINA COLLEGE OF MEDICINE,2017.0,PHYSICIAN ASSISTANT,100.0,100.0,,40.0,100.0,258
1023028313,LOYD,TAMMY,F,PA,OTHER,1996.0,PHYSICIAN ASSISTANT,100.0,100.0,,40.0,100.0,258
1255563938,RAUF,MUHAMMAD,M,,OTHER,2007.0,GENERAL SURGERY,100.0,92.2,,40.0,100.0,258
1316289101,YANG,SHIAYIN,F,,OTHER,2013.0,OTOLARYNGOLOGY,100.0,100.0,,40.0,100.0,258
1376679860,WARNER,JEREMY,M,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,2005.0,HEMATOLOGY,100.0,100.0,,40.0,100.0,258
1497023444,MILLER,JORDAN,M,,OTHER,2011.0,CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),100.0,100.0,,40.0,100.0,258
1780638056,CREAGER,NOEL,F,CNA,OTHER,1993.0,CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),100.0,95.9,98.7,40.0,100.0,4
1124270863,CARPENTER,KIMBERLY,F,,OTHER,2008.0,CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),100.0,100.0,,40.0,100.0,4
1538151501,SELIGMAN,RON,M,CNA,OTHER,1999.0,CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),100.0,,,40.0,100.0,4
1164495735,GOMON,ELIZABETH,F,,OTHER,1994.0,CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),100.0,100.0,98.7,40.0,100.0,4
1093984502,DAY,JILL,F,,OTHER,2007.0,CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),100.0,95.9,98.7,40.0,100.0,4
1790794469,BURDICK,ROBERT,M,,OTHER,2000.0,CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),100.0,95.9,98.7,40.0,100.0,4
1750599288,CHERRO,RITA,F,,"AT STILL UNIVERSITY OF HEALTH SCIENCES, COLLEGE OF OSTEO MED, KIRKSVILLE",2006.0,ANESTHESIOLOGY,100.0,,,40.0,100.0,4
1336588029,VAHABZADEH,CHRISTIE,F,,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,2013.0,ANESTHESIOLOGY,100.0,100.0,,40.0,100.0,4
1598958043,ROSS,JILL,F,,OTHER,2007.0,NURSE PRACTITIONER,100.0,100.0,98.7,40.0,100.0,4
1043579717,BERLASI,UMBERTO,M,,WAYNE STATE UNIVERSITY SCHOOL OF MEDICINE,2012.0,ANESTHESIOLOGY,100.0,100.0,98.7,40.0,100.0,4
1619976016,DORAN,MARY,F,DPM,WILLIAM M. SCHOLL COLLEGE OF PODIATRIC MEDICINE,2001.0,PODIATRY,100.0,71.0,29.5,40.0,100.0,63
1982656658,GARCIA,DAVID,M,DPM,OTHER,1984.0,PODIATRY,100.0,92.0,,40.0,100.0,63
1366445462,ANDERSON,EDWARD,M,,OTHER,1989.0,PODIATRY,100.0,,89.9,40.0,100.0,63
1326381856,CARTER,SUSAN,F,,MEHARRY MEDICAL COLLEGE SCHOOL OF MEDICINE,2013.0,FAMILY MEDICINE,100.0,100.0,50.3,40.0,100.0,100
1144295593,JONES,TAMARA,F,MD,EASTERN VIRGINIA MEDICAL SCHOOL,2002.0,HOSPITALIST,100.0,100.0,83.9,40.0,100.0,100
1942530266,ODUOLA,AYODEJI,M,,OTHER,2007.0,INTERNAL MEDICINE,100.0,100.0,83.9,40.0,100.0,100
1831440189,BROWN,KESHIA,F,,EASTERN VIRGINIA MEDICAL SCHOOL,2012.0,PHYSICIAN ASSISTANT,100.0,100.0,83.9,40.0,100.0,100
1144297714,BARNES,HAL,M,,MEDICAL UNIVERSITY OF SOUTH CAROLINA COLLEGE OF MEDICINE,1986.0,FAMILY MEDICINE,100.0,100.0,83.9,40.0,100.0,100
1952348252,TRIEPEL,CAROLINE,F,MD,UNIVERSITY OF VIRGINIA SCHOOL OF MEDICINE,1994.0,HAND SURGERY,100.0,100.0,83.9,40.0,100.0,100
1659719227,ELEBIARY,AHMED,M,,OTHER,2009.0,INTERNAL MEDICINE,100.0,100.0,100.0,40.0,100.0,100
1215377742,BAEK,MICHAEL,M,,OTHER,2013.0,INTERNAL MEDICINE,100.0,,100.0,40.0,100.0,100
1003170200,ALARABI,ALBAGIR,M,,OTHER,2005.0,INTERNAL MEDICINE,100.0,100.0,83.9,40.0,100.0,100
1194727719,PATEL,MILAN,F,DO,"AT STILL UNIVERSITY OF HEALTH SCIENCES, COLLEGE OF OSTEO MED, KIRKSVILLE",1999.0,FAMILY MEDICINE,100.0,100.0,83.9,40.0,100.0,100
1154422459,WILLIAMS,RAENELL,F,MD,OTHER,2003.0,FAMILY MEDICINE,100.0,100.0,83.9,40.0,100.0,100
1306128558,GUPTA,PARONI,F,,OTHER,2011.0,NURSE PRACTITIONER,100.0,100.0,83.9,40.0,100.0,100
1356445597,SCHUTTER,STEPHANIE,F,NP,OTHER,2002.0,NURSE PRACTITIONER,100.0,100.0,83.9,40.0,100.0,100
1558654368,OWUSU-NYAMEKYE,NANA ADOMA,F,,UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,2011.0,INTERNAL MEDICINE,100.0,100.0,83.9,40.0,100.0,100
1679507917,HENNIGH,CYNTHIA,F,NP,OTHER,2002.0,NURSE PRACTITIONER,100.0,100.0,83.9,40.0,100.0,100
1598931602,SALES,BENEDICT,M,,OTHER,2005.0,HOSPITALIST,100.0,100.0,83.9,40.0,100.0,100
1518259092,RAMESH,ATUL,M,,TOLEDO MEDICAL COLLEGE,2011.0,PSYCHIATRY,100.0,100.0,,40.0,100.0,100
1780750885,BALDWIN,JEREMY,M,,"STATE UNIVERSITY OF NEW YORK AT STONY BROOK, SCHOOL OF MEDICINE",2007.0,HOSPITALIST,100.0,100.0,83.9,40.0,100.0,100
1861589897,ALETI,VIKRAM,M,,OTHER,1999.0,FAMILY MEDICINE,100.0,100.0,83.9,40.0,100.0,100
1649582982,BEFIKADU,SISSAY,M,,OTHER,1999.0,HOSPITALIST,100.0,100.0,88.3,40.0,100.0,100
1740243054,HOOVER,BRADLEY,M,,"UNIVERSITY OF TENNESSEE, HSC, COLLEGE OF MEDICINE",1989.0,EMERGENCY MEDICINE,100.0,,100.0,40.0,100.0,170
1831263458,MOHAMMED,RICHARD,M,,"TEXAS A & M UNIVERSITY SYSTEM, HSC, COLLEGE OF MEDICINE",1988.0,EMERGENCY MEDICINE,100.0,0.0,100.0,40.0,100.0,170
1780001883,DIANA,MICHAEL,M,,UNIVERSITY OF VIRGINIA SCHOOL OF MEDICINE,2014.0,EMERGENCY MEDICINE,100.0,,100.0,40.0,100.0,170
1609180694,DOMINO,DAVID,M,,PHILADELPHIA COLLEGE OF OSTEOPATHIC MEDICINE,2010.0,EMERGENCY MEDICINE,100.0,,100.0,40.0,100.0,170
1316334915,ZILCOSKY,CRAIG,M,,OTHER,2014.0,NURSE PRACTITIONER,100.0,,71.9,40.0,100.0,13
1588715049,COCHRAN,CHRISTINE,F,DO,OTHER,2003.0,EMERGENCY MEDICINE,100.0,,100.0,40.0,100.0,13
1144240250,WHITMAN,BRUCE,M,,OTHER,1983.0,EMERGENCY MEDICINE,100.0,,96.3,40.0,100.0,13
1881637924,WAXLER,JENNIFER,F,DO,PHILADELPHIA COLLEGE OF OSTEOPATHIC MEDICINE,1990.0,EMERGENCY MEDICINE,100.0,,100.0,40.0,100.0,13
1023169307,CHESLOCK,TIMOTHY,M,PA,"LAKE ERIE COLLEGE OF OSTEOPATHIC MEDICINE, ERIE",2007.0,EMERGENCY MEDICINE,100.0,,100.0,40.0,100.0,13
1053385070,GANTI,LATHA,F,,PONCE SCHOOL OF MEDICINE,1997.0,EMERGENCY MEDICINE,100.0,,96.7,40.0,100.0,13
1194019737,SLUSHER,LISA,F,,OTHER,2011.0,NURSE PRACTITIONER,100.0,,100.0,40.0,100.0,13
1518989953,MILLANA,RONEL,M,MD,OTHER,2001.0,EMERGENCY MEDICINE,100.0,,100.0,40.0,100.0,13
1659662542,DAVID,GABRIEL,M,,LOMA LINDA UNIVERSITY SCHOOL OF MEDICINE,2011.0,EMERGENCY MEDICINE,100.0,100.0,,40.0,100.0,13
1578705224,BROOKS,DANNY,M,,OTHER,2008.0,NURSE PRACTITIONER,100.0,,100.0,40.0,100.0,13
1669428371,BANERJEE,PUSHPAL,M,DO,PHILADELPHIA COLLEGE OF OSTEOPATHIC MEDICINE,1995.0,EMERGENCY MEDICINE,100.0,,100.0,40.0,100.0,13
1912156084,WILSON,JAMES,M,,"UNIVERSITY OF PIKEVILLE, KENTUCKY COLLEGE OF OSTEOPATHIC MED",2008.0,EMERGENCY MEDICINE,100.0,,100.0,40.0,100.0,13
1942261821,SAVANI,PARESH,M,MD,OTHER,1996.0,INTERNAL MEDICINE,100.0,,100.0,40.0,100.0,13
1992722581,WILSON,DAVID,M,MD,HOWARD UNIVERSITY COLLEGE OF MEDICINE,1999.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,13
1093959306,BAKER,BENJAMIN,M,,"UNIVERSITY OF TENNESSEE, HSC, COLLEGE OF MEDICINE",2009.0,EMERGENCY MEDICINE,100.0,,100.0,40.0,100.0,129
1285659144,MIRANDA,PAUL,M,MD,UNIVERSITY OF SOUTH ALABAMA COLLEGE OF MEDICINE,1998.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,129
1790125110,CUNNINGHAM,JAMES,M,,UNIVERSITY OF MISSISSIPPI SCHOOL OF MEDICINE,2013.0,EMERGENCY MEDICINE,100.0,,98.7,40.0,100.0,129
1942225370,SEGO,JAMES,M,,OTHER,1993.0,EMERGENCY MEDICINE,100.0,,100.0,40.0,100.0,129
1194976704,WHITTLE,JESSICA,F,,UNIVERSITY OF ALABAMA SCHOOL OF MEDICINE,2007.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,129
1104857390,STONE,LARRY,M,,"UNIVERSITY OF TENNESSEE, HSC, COLLEGE OF MEDICINE",1973.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,129
1235529256,STOKES,KELLY,F,,OTHER,2018.0,NURSE PRACTITIONER,100.0,100.0,,40.0,100.0,129
1255590493,HESS,AMY,F,,"UNIVERSITY OF TENNESSEE, HSC, COLLEGE OF MEDICINE",2008.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,129
1457408346,ROGERS,KAREN,F,,VANDERBILT UNIVERSITY SCHOOL OF MEDICINE,2006.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,129
1548523418,GEPHART,REBECCA,F,,OTHER,2012.0,NURSE PRACTITIONER,100.0,100.0,100.0,40.0,100.0,129
1730136755,HELFMAN,LAURA,F,MD,MEDICAL COLLEGE OF PENNSYLVANIA,1985.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,129
1992914105,SILLERY,JOHN,M,,OTHER,2005.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,129
1609194067,ENGLISH,WARREN,M,,UNIVERSITY OF MISSISSIPPI SCHOOL OF MEDICINE,2010.0,EMERGENCY MEDICINE,100.0,95.6,100.0,40.0,100.0,129
1265745913,PROSSER,BERTRAM,M,,ALBERT EINSTEIN COLLEGE OF MEDICINE OF YESHIVA UNIVERSITY,2010.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,170
1700226545,ALMEHBASH,ABDULLAH,M,,OTHER,2009.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,170
1093925935,JAMES,TIENCIA,F,,DUKE UNIVERSITY SCHOOL OF MEDICINE,2004.0,EMERGENCY MEDICINE,100.0,,100.0,40.0,100.0,170
1003086166,WHITE,ROBIN,F,,CLVLND CLINIC LERNER COLLEGE OF MED OF CASE WSTN RSV UNIVERSITY,2004.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,170
1205935343,NKWUO,NNAMDI,M,MD,RUTGERS R W JOHNSON MEDICAL SCHOOL (CAM/NEW BRUNS/PISC),2002.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,170
1184982134,AUGUSTIN-COLEY,BROOKE,F,,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,2012.0,EMERGENCY MEDICINE,100.0,,100.0,40.0,100.0,170
1235344367,HARRIS,EUGENE,M,,EMORY UNIVERSITY SCHOOL OF MEDICINE,2004.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,170
1467419580,BARKHUIZEN,JANNIE,F,MD,EMORY UNIVERSITY SCHOOL OF MEDICINE,2001.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,170
1578766697,MEHR,CHRIS,M,,MEHARRY MEDICAL COLLEGE SCHOOL OF MEDICINE,2002.0,FAMILY MEDICINE,100.0,0.0,100.0,40.0,100.0,170
1801835947,FRASER,GRANT,M,MD,"UNIVERSITY OF CALIFORNIA, SAN DIEGO SCHOOL OF MEDICINE",1994.0,EMERGENCY MEDICINE,100.0,,100.0,40.0,100.0,170
1821257049,STRANE,NICHOLAS,M,,MEHARRY MEDICAL COLLEGE SCHOOL OF MEDICINE,2004.0,EMERGENCY MEDICINE,100.0,100.0,100.0,40.0,100.0,132
1205810926,MARULENDRA,SHIVAPRASAD,M,MD,"VIRGINIA COMMONWEALTH UNIVERSITY, SCHOOL OF MEDICINE",1988.0,GASTROENTEROLOGY,100.0,100.0,54.7,40.0,100.0,132
1164572095,AL-DALLOW,RAED,M,MD,OTHER,1997.0,INTERVENTIONAL CARDIOLOGY,100.0,100.0,54.7,40.0,100.0,132
1003997560,COELLO,CESAR,M,MD,OTHER,1989.0,CARDIOVASCULAR DISEASE (CARDIOLOGY),100.0,100.0,54.7,40.0,100.0,132
1013946433,SCHWARTZ,ALLAN,M,CNA,WASHINGTON UNIVERSITY SCHOOL OF MEDICINE,1994.0,CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),100.0,100.0,100.0,40.0,100.0,132
1033131024,KARAIKOVIC,ELDIN,M,MD,OTHER,1983.0,ORTHOPEDIC SURGERY,100.0,100.0,,40.0,100.0,132
1053678755,JUNAID,NIDA,F,,OTHER,2009.0,PULMONARY DISEASE,100.0,100.0,100.0,40.0,100.0,132
1063660074,CLARK,NATHANIEL,M,,OTHER,2008.0,PHYSICIAN ASSISTANT,100.0,100.0,54.7,40.0,100.0,132
1104874338,GERST,DACIA,F,NP,OTHER,2004.0,NURSE PRACTITIONER,100.0,100.0,54.7,40.0,100.0,132
1134384977,HORNIK,ALEJANDRO,M,,OTHER,2006.0,NEUROLOGY,100.0,100.0,54.7,40.0,100.0,132
1205050416,NELSON,KASEY,M,,OTHER,2003.0,EMERGENCY MEDICINE,100.0,100.0,,40.0,100.0,132
